
创1:1 【太初天主开始创造天地】太初，天主创造天地。
母下12:11 主又如此说：我必使你家中出一人祸害你，我必任他在你眼前白昼玷辱你的妃嫔。(原文作“我必在你家中兴起祸患加于你”。“白昼”原文作“日前”，下同。)
母下12:12 你暗中行这事，我在[以色列]众人面前、在白昼报应你。
母下12:13 {大卫}对{拿单}说：我获罪于主了。{拿单}说：主必赦免你的罪，你不至于死亡。
母下12:14 【主使大卫和拔示巴所生的儿子生病将死，大卫为他禁食祈祷】只是你这事使怨恨主的人得了毁谤的机会。你现在所得的儿子必要死。
母下12:15 {拿单}就回家去了。{乌利亚}的妻从{大卫}所生的那婴孩，主使他得病要死。
母下12:16 {大卫}为婴孩祷告天主，又禁食，终夜睡卧在地上。
母下12:17 他家中老臣到了他面前，劝他从地上起来。他不肯，也不吃饭。(“也不吃饭”原文作“不和他一同吃饭”。)
母下12:18 到第七日，婴孩死了，{大卫}的臣仆不敢告诉他婴孩死了。他们说：婴孩活着的时候，我们劝他，他尚且不肯听我们的话，若告诉他婴孩死了，更不定忧伤怎样呢？
母下12:19 【大卫知道孩子死了，就不再禁食祈祷】{大卫}见臣仆彼此悄声说话，就知道婴孩死了，问臣仆说：婴孩死了么？众人说：死了。
母下12:20 {大卫}就从地上起来，沐浴、抹膏、换衣，进主的殿叩拜，回宫吩咐人为他摆饭，便吃了。
母下12:21 臣仆对{大卫}说：婴孩活着的时候，王禁食哭泣，婴孩死了，王倒起来吃饭。王这样行何意？
母下12:22 {大卫}说：婴孩还活着，我禁食哭泣，因为我想或者主怜恤我，使婴孩不死，也未可知。
母下12:23 婴孩既死了，我何必禁食？我岂能使他复活呢？我必往他那里去，他必不能回我这里来。
母下12:24 【拔示巴又从大卫生了所罗门，主赐名耶底底亚】{大卫}安慰他的妻{拔示巴}与她同寝。{拔示巴}生子，{大卫}与他起名叫{所罗门}，主也喜爱他，
母下12:25 差遣先知{拿单}赐他名{耶底底亚}，因为主喜爱他。(“耶底底亚”即“见爱于主”之义。)
母下12:26 【大卫攻取了拉巴的都城（代上20:1-3）】¶那时，{约押}攻击[亚扪]人的都城[拉巴]城，取了水城。(“水城”原文作“王城”。)
母下12:27 {约押}差遣使者告诉{大卫}说：我攻击[拉巴]城，已经取了水城了。
母下12:28 现在你可以聚集剩下的军兵来围困城，将城攻取。恐怕我取了这城，取城的功就归我了。(“功”或作“名”。)
母下12:29 于是，{大卫}聚集众军，往[拉巴]城去攻城，便取了城，
母下12:30 夺获他们王头戴的冕，冕重一他连得黄金，嵌着一宝石。{大卫}戴在自己头上，又从城里夺获了极多财物，(“他们王”或作“玛勒堪”，“玛勒堪”即“米勒公”，又名摩洛亚扪族之神名。)
母下12:31 又使城里人出来，将他们或搁在锯下，或搁在打粮食铁器下，或搁在铁斧下，或使从砖窑经过。{大卫}待[亚扪]人的各城邑都是如此。其后，{大卫}和众军就都回到[耶路撒冷]。(或作“将他们或用锯，或用打粮食的铁器，或用铁斧作工，或使在砖窑里服役”。)
母下13:1 【暗嫩私恋妹子他玛，听从约拿达的计谋装病，让他玛到他的房间强行奸污了她】此后有一事，{大卫}的儿子{押沙龙}有一个/同母的/妹子名{他玛}，相貌甚美，{大卫}的儿子{暗嫩}爱她。
母下13:2 {暗嫩}思想妹子{他玛}，以致成病。{他玛}还是处女，{暗嫩}知道难与之近。
母下13:3 {暗嫩}有一个相好的名{约拿达}，为人极其狡猾，他是{大卫}兄{示米亚}的儿子。
母下13:4 他问{暗嫩}说：王子为何一天比一天瘦弱？请告诉我。{暗嫩}回答说：我爱我兄弟{押沙龙}的妹子{他玛}。
母下13:5 {约拿达}说：你不如躺卧在床上装病，你父必来看你。就说：求父使我妹子{他玛}来给我吃食，使她在我面前预备食物，使我看见，我从她手里接过来吃。
母下13:6 于是，{暗嫩}躺卧装病。王去看他，他对王说：求父使我妹子{他玛}来在我面前，为我做两个饼，我从她手里接过来吃。
母下13:7 {大卫}吩咐人，到里头吩咐{他玛}说：你往你兄{暗嫩}的屋子里去，为他预备食物。
母下13:8 {他玛}就进了他兄{暗嫩}的屋子。{暗嫩}正躺卧，{他玛}用面在他面前抟作饼烙熟了。
母下13:9 {他玛}在他面前，将饼从鏊里倒出来。{暗嫩}不肯吃，就说：使众人都离开我出去。众人都离开他出去了。
母下13:10 {暗嫩}对{他玛}说：你可以将食物拿进卧房，我从你手里接过来吃。{他玛}将所做的饼拿进卧房，到她兄{暗嫩}面前。
母下13:11 {他玛}拿着饼给他吃，他便拉住{他玛}，对{他玛}说：我妹，你来与我同寝。
母下13:12 {他玛}说：我哥哥，不要玷辱我。[以色列]人中没有这样行的。你不要行这可羞耻的事。
母下13:13 你若玷辱我，将来何以掩盖我的羞耻？人也必以你为[以色列]人中最愚妄的人。你可以求王，王必许你娶我。(或作“我受斯辱将洗于何处？”。)
母下13:14 {暗嫩}不肯听她的话，强辱她，与她同寝。
母下13:15 【之后暗嫩又恶待他玛，让人敢他玛出去】其后，{暗嫩}恨恶她比先前爱她更甚，对她说：你起来去吧。
母下13:16 {他玛}说：你使我去。你这后做的事比你先做的事丑恶尤甚。{暗嫩}不肯听她的话，
母下13:17 就叫了伺候他的仆人来，说：将这个女子赶出外去，使她离开我。她出去，你就将门关闭。
母下13:18 {他玛}穿着五彩衣服，因为没有下嫁的公主都是这样穿。{暗嫩}的仆人将她赶出去，将门关闭。
母下13:19 {他玛}用灰尘撒在头上，撕开所穿的彩衣，加手在头上，一面行走，一面哭喊。
母下13:20 【他玛的兄长押沙龙接他玛回自己的家，并筹备复仇】她兄{押沙龙}问她说：莫非你哥哥{暗嫩}与你亲近么？我妹，暂且不要作声。他是你的哥哥，不要将这事放在心上。{他玛}就孤孤单单地住在她兄{押沙龙}家里。
母下13:21 {大卫}王听见这事，就甚发怒。
母下13:22 {押沙龙}并不和他兄{暗嫩}说好说歹，却恨恶他兄{暗嫩}，因为{暗嫩}玷辱他妹子{他玛}。
母下13:23 【押沙龙计划杀暗嫩，以报玷污妹妹的仇】过了二年，在靠近[以法莲]的[巴力夏琐]，有人为{押沙龙}剪羊毛。{押沙龙}请王的众子与他同去。
母下13:24 {押沙龙}见王说：现在有人为仆人剪羊毛，请王和王的臣仆与仆人同去。
母下13:25 王对{押沙龙}说：我儿，我们不必都去，恐怕使你耗费。{押沙龙}再三请王，王不肯去，为他祝福。
母下13:26 {押沙龙}说：王若不去，求王许我哥哥{暗嫩}与我同去。王向{押沙龙}说：他何必去呢？
母下13:27 {押沙龙}再三求王，王就许{暗嫩}和王的众子与{押沙龙}同去。
母下13:28 {押沙龙}吩咐仆人说：你们看着{暗嫩}酒醉畅快，我若吩咐你们说：杀{暗嫩}，你们便杀他，不要惧怕，这是我吩咐你们的。你们只管放胆作勇士。
母下13:29 {押沙龙}的仆人就照着{押沙龙}所吩咐的话杀{暗嫩}。王的众子都起来，各人骑自己的骡子逃跑。
母下13:30 【大卫听到此事非常惊讶难过】他们还在路上，{大卫}风闻{押沙龙}将王的众子都杀了，没有留下一个。
母下13:31 王就起来，撕裂衣服，躺卧在地上，王的臣仆也都撕裂衣服，左右侍立。(“王的臣仆也都撕裂衣服左右侍立”或作“左右侍立的臣仆也撕裂衣服”。)
母下13:32 {大卫}兄{示米亚}的儿子{约拿达}对{大卫}说：我主不要以为王的众子都被杀，只有{暗嫩}一个人死了。自从{暗嫩}玷辱{押沙龙}妹子{他玛}那日，{押沙龙}就决意欲杀{暗嫩}。(“押沙龙就决意要杀暗嫩”或作“押沙龙已有此意了”。)
母下13:33 现在我主我王不要心里想王的众子都死了，只有{暗嫩}一个人死了。
母下13:34 {押沙龙}逃走了。瞭望的少年人举目观看，见有许多人从山旁的道上来。
母下13:35 {约拿达}对王说：王的众子都来了，果如仆人所说的话。
母下13:36 他话才说完，王的众子都到了，都放声大哭，王和臣仆都哭甚恸。
母下13:37 【押沙龙逃往基述王达买那里去】{押沙龙}逃往[基述]王{亚米忽}的儿子{达买}那里去了。{大卫}为他儿子常常哀哭。
母下13:38 {押沙龙}逃到[基述]，在那里住了三年。
母下13:39 {暗嫩}死后，{大卫}王渐渐解了悲哀，心里切切想念{押沙龙}。
母下14:1 【约押知道王思念押沙龙，就让一个妇人假装寡妇，藉比喻使王召押沙龙回来】{西鲁雅}的儿子{约押}知道王心里想念{押沙龙}，
母下14:2 就差遣人往[提哥亚]去，从那里叫了一个聪明妇人来，吩咐她说：你假装居丧的，不要用膏抹身，当穿上孝衣，装作为死者久哀的妇人。
母下14:3 到王面前对王如此如此说。于是，{约押}将当说的话教妇人。(“将当说的话教妇人”原文作“将话授与妇口”。)
母下14:4 [提哥亚]妇人到王面前俯伏在地上叩拜，说求王拯救。
母下14:5 王问她说：你有什么事？回答说：婢女是寡妇，我丈夫死了。
母下14:6 我有两个儿子，一日在田野斗殴，中间没有人解劝，这个就将那个打死。
母下14:7 现在全家的人都起来攻击婢女，说你将那打死兄弟的交出来，我们将他治死，偿他所打死兄弟的命，虽是接续家业的，我们也要杀他。这样，他们要将我剩下的炭火灭尽，不与我故夫留名留后在世上。
母下14:8 王向妇人说：你回你家去吧，我为你下令。
母下14:9 [提哥亚]妇人又奏告王说：我主我王，罪必归我和我父家，不与王和王的位相干。
母下14:10 王说：若再有人与你争论，你就带他到我这里来。他必不敢再攻你。
母下14:11 妇人说：求王记念主你的天主，不许报仇的人再伤害性命，惟恐他们灭绝我的儿子。王说：我指着永生主起誓，你的儿子连一根头发也不至落在地上。
母下14:12 妇人说：求我主我王容婢女再说一句话。王说：你说吧。
母下14:13 妇人说：王怎能以为天主的民可行这样的事呢？王既不使逃亡的人回来，王的这话就是自定己罪了。
母下14:14 我们都是必死的，如同泼在地上的水不能复回。天主却不偏待人，必设法使逃亡的人不至不能归回。(“天主却不偏待人”或作“天主不使人丧命”。)
母下14:15 我来将这话奏告我主我王，是因为民使婢女畏惧。婢女想不如将这话告诉王，王或者应允婢女所求的。
母下14:16 人要将我和我儿子一同在天主的地业上灭绝。婢女想王必应允我所求的，救我脱离他的手。
母下14:17 婢女又想我主我王的话必安慰我，因为我主我王能辨别是非，如同天主的使者一般。惟愿主你的天主保佑王。
母下14:18 王向妇人说：我要问你一句话，你不要瞒我。妇人说：愿我主我王说。王说：你这些话莫非是{约押}的主意么？
母下14:19 妇人说：我指着我主我王的性命起誓，王的话没有人能左右猜疑。是王的仆人{约押}吩咐我的。这些话是他教我的。(“这些话是他教我的”原文作“将这些话受与婢口”。)
母下14:20 王的仆人{约押}如此行，为要藉此事谏劝。我主我王的智慧却如天主使者的智慧，能知世上一切事。
母下14:21 【王就吩咐约押去叫押沙龙回耶路撒冷】王对{约押}说：我必行这事。你可以去叫那少者{押沙龙}回来。(或作“你既行这事”。)
母下14:22 {约押}俯伏拜在地上，为王祝福，又说：王既应许仆人所求的，仆人今日知道真蒙了我主我王的恩了。
母下14:23 {约押}起身往[基述]去，将{押沙龙}带回[耶路撒冷]来。
母下14:24 王说：使他回自己府里去。{押沙龙}就回自己府里去，没有与王见面。
母下14:25 【押沙龙相貌俊秀，头发长而重，生了三子一女】¶{押沙龙}品貌甚俊秀，所有[以色列]人没有一个及他的，他得众人的赞美，他从脚底直到头顶毫无瑕疵。
母下14:26 他的头发甚重，一年剪一回，将剪下的头发称一称，按王的平重二百舍客勒。
母下14:27 {押沙龙}生了三个儿子，一个女儿。女儿名他玛，是个容貌美丽的女子。
母下14:28 【押沙龙回耶路撒冷二年都没见王召他，只好烧约押的田，逼约押引荐他见王】¶{押沙龙}在[耶路撒冷]住了二年，没有见王的面。
母下14:29 {押沙龙}差遣人去叫{约押}来，要打发他见王，{约押}不肯来。{押沙龙}又遣人去叫他，他仍不肯来。
母下14:30 {押沙龙}对仆人说：你们知道靠近我的田有{约押}的一块大麦田，你们可去放火烧了那田。{押沙龙}的仆人去放火烧了那田。
母下14:31 {约押}就起来到了{押沙龙}府里，问他说：你的仆人为何放火烧了我的田呢？
母下14:32 {押沙龙}对{约押}说：我差遣人去叫你来，要使你去见王，替我说：我从[基述]回来有什么益处呢？不如我仍在那里。现在我一定要见王的面。我若有罪，任凭王杀我就是了。
母下14:33 {约押}到王面前，就将这话奏告王。王便叫{押沙龙}来，{押沙龙}就来见王，在王面前俯伏拜在地上。王与{押沙龙}接吻。
母下15:1 【押沙龙以甜言蜜语笼络民心】此后，{押沙龙}为自己制备车马，又派五十人在他前头奔走。
母下15:2 {押沙龙}屡屡早晨起来站在城门口，若有人有词讼要去见王求判断，{押沙龙}就叫他过来，问他说：你是哪一城的人？回答说：仆人是[以色列]某支派的人。
母下15:3 {押沙龙}对他说：你的话是有理的，是公义的，无奈王不差委人听你的话。(“话”或作“事”。)
母下15:4 {押沙龙}又说：我若能如愿得作国中的士师，凡有词讼，求审判的到我这里来，我必按公义判断。
母下15:5 若有人近前要拜{押沙龙}，{押沙龙}就伸手将他拉住与他接吻。
母下15:6 [以色列]人中凡要去见王，求判断的，{押沙龙}都是如此待他们，于是{押沙龙}暗暗得了[以色列]人的心了。(“暗暗得了”原文作“窃了”。)
母下15:7 【押沙龙在王前找托词说去希伯仑还愿】到了第四十年，{押沙龙}对王说：我曾在主面前许愿，我要往[希伯仑]去还我所许的愿。/求王准我/。(“四十年”有作“四年”。)
母下15:8 因为仆人住在[亚兰] [基述]的时候，曾许愿说：主若使我得回到[耶路撒冷]，我必事奉主。
母下15:9 王说：你平平安安地去吧。{押沙龙}就起身往[希伯仑]去了。
母下15:10 【押沙龙在希伯仑叛逆王，要自立为王】{押沙龙}密遣人往[以色列]各支派去说：你们一听见角声，就说{押沙龙}在希伯仑作了王了。(“密遣人”原文作“遣窥探的人”。)
母下15:11 {押沙龙}在[耶路撒冷]邀请了二百人与他同去，他们去是诚诚实实地去，并不知道其中真情。
母下15:12 {押沙龙}献祭的时候，差遣人去将{大卫}的谋士[基罗]人{亚希多弗}，从他本城[基罗]请了来，于是叛逆的势派甚大，随从{押沙龙}的人民日渐增多。(“叛逆的势派甚大”或作“叛逆之党越发强盛”。)
母下15:13 【大卫听到此消息，就离开耶路撒冷逃跑】有人报告{大卫}说：[以色列]人的心都归顺{押沙龙}了。
母下15:14 {大卫}就吩咐在[耶路撒冷]跟随他的臣仆说：我们须起身逃走，不然，不能躲避{押沙龙}了。须要速速地去，恐怕他忽然来到杀害我们，并用刀杀尽阖城的人。
母下15:15 王的臣仆对王说：我主我王愿意怎样行，仆人都听从。(“仆人都听从”原文作“仆人都在这里”。)
母下15:16 于是王带着全家都出去了，但留下十妃看守宫殿。
母下15:17 王和跟从他的众民出去，到了[伯墨哈]，就住下了。(“到了伯墨哈就住下了”或作“到了城外末了的房子就住下了”。)
母下15:18 王的臣仆都在他面前过去，护卫兵和从[迦特]跟随王来的六百人，也都在他面前过去。(“护卫兵”原文作“基利提人毗利提人”。)
母下15:19 【王让迦特人以太回去，以太却执意要跟从王】王对[迦特]人{以太}说：你是外方人，何必与我们同去？你可以回去与新王同住，或者回你本乡去。(或作“王对迦特人以太说你何为也？和我们同去可以回去和新王同居，你是异邦人从你本乡迁到这里”。)
母下15:20 你来了不多几日，我今日怎好叫你与我们一同飘流呢？我自己也不知道我往哪里去好。不如带着你本乡的人回去吧。愿天主以恩宠诚实待你。(“我自己也不知道我往哪里去好”原文作“我往可往的地方”。)
母下15:21 {以太}对王说：我指着永生主起誓，也指着我主我王的性命起誓，无论生死，王在哪里，仆人也在哪里。
母下15:22 {大卫}对{以太}说：你往前去吧。于是，[迦特]人{以太}带着跟从他的人和所有的家眷都往前过去。(“家眷”原文作“幼稚”。)
母下15:23 众民走的时候，本地的人都放声大哭，王渡过[汲沦溪]，民也过溪往旷野去。
母下15:24 【大卫吩咐撒督 亚比亚他将约柜请回耶路撒冷】{撒督}和抬天主约柜的[利未]人也来了，将天主的柜暂且放下，{亚比亚他}也上来。他们都等着众民从城里出来过去。
母下15:25 王吩咐{撒督}说：你将天主的柜请回城去。我若在主面前蒙恩，主必使我回来，使我得再见它，又得见他的居所。
母下15:26 主若说：我不喜悦你。我在这里，惟愿主照着自己的意旨向我行。
母下15:27 王又向祭司{撒督}说：你不是明见的人么？你可以安然回城里去。你儿子{亚希玛斯}和{亚比亚他}的儿子{约拿单}，你们这两个儿子，也可以同你们在一处。
母下15:28 我在旷野平原逗遛，等候从你们那里有信来报我。
母下15:29 于是，{撒督}和{亚比亚他}将天主的柜请回[耶路撒冷]，他们也就住在那里。
母下15:30 【大卫与臣仆赤脚蒙头哭泣上山】{大卫}蒙头赤脚上[油果]山，一面上，一面哭，跟随他的众人也都蒙着头哭着上山。
母下15:31 【大卫听说亚希多弗跟从了押沙龙，就求主败坏亚希多弗的计谋】有人告诉{大卫}说：{亚希多弗}也在叛党之中随从{押沙龙}。{大卫}祷告说：求主败坏{亚希多弗}的计谋。(“求主败坏亚希多弗的计谋”或作“亚希多弗定谋求主使人视为愚拙”。)
母下15:32 {大卫}到了山顶，要在那里叩拜主，见[亚基]人{户筛}衣服撕破，头蒙灰尘来迎接。(“要在那里叩拜主”或作“崇拜天主的地方”。)
母下15:33 【大卫就命令户筛回耶路撒冷，假装臣服于押沙龙，去败坏他们的计谋】{大卫}对他说：你若与我同去，必赘累我。
母下15:34 你若回城里去对{押沙龙}说：王啊，我愿作王的臣，我向来作王父的臣，现在我也作王的臣，或可为我败坏{亚希多弗}的计谋。
母下15:35 城里有祭司{撒督}和{亚比亚他}。你在王宫里听见什么，就告诉祭司{撒督}和{亚比亚他}。
母下15:36 {撒督}的儿子{亚希玛斯}，{亚比亚他}的儿子{约拿单}也在那里。你们听见什么事，可以托这二人来报我。
母下15:37 于是{大卫}的朋友{户筛}进了城，{押沙龙}也到了[耶路撒冷]。
母下16:1 【洗巴向王献礼，控告他主人米非波设有叛国的心，王就将米非波设的田都赐给洗巴】{大卫}刚过山顶，见{米非波设}的奴{洗巴}拉着备好了的两匹驴，驴上驮着二百面饼、一百干葡萄饼、一百无花果饼、一皮囊酒，来迎接{大卫}。
母下16:2 王问{洗巴}说：你带这些来做什么？{洗巴}说：驴是与王的家眷骑的，饼和干果子是与少年人吃的，酒是与在旷野疲惫的人喝的。
母下16:3 王问说：你主人的儿子在哪里？{洗巴}回答王说：他现居[耶路撒冷]。他说[以色列]人今日必将我父的国还我。
母下16:4 王对{洗巴}说：凡属{米非波设}的我都给你。{洗巴}说：我在我主我王面前蒙恩，我只好叩拜。
母下16:5 【大卫到了巴户琳，有扫罗族的示每出来咒诅他】{大卫}到了[巴户琳]，出来一个{扫罗}本族的人名叫{示每}，是{基拉}的儿子。他一面走，一面咒骂，
母下16:6 又向{大卫}王和王的臣仆抛石头。众民和勇士都在王的左右。
母下16:7 {示每}咒骂说：你这残忍凶恶的人去吧，去吧。
母下16:8 你残杀{扫罗}全家，替他作王，现在主也报应你，将国赐给你儿子{押沙龙}。你是残忍的人，你现在遭了恶报了。
母下16:9 {西鲁雅}的儿子{亚比筛}对王说：这死狗，岂可容他咒骂我主我王呢？我过去割下他的头来。
母下16:10 王说：{西鲁雅}的儿子，我与你们有何关涉？由他咒骂吧，因为主吩咐他说：你咒骂{大卫}，谁可向主说为什么这样行？
母下16:11 【大卫容忍他，并且警戒人，免得人杀示每】{大卫}又对{亚比筛}和诸臣仆说：我亲生的儿子尚且要害我的性命，何况这[便雅悯]人呢？由他咒骂吧，因为是主吩咐他的。
母下16:12 或者主见我遭难，/眷顾我/，因我今日被咒骂，施恩与我。(“施恩”或作“赐福”。)
母下16:13 于是，{大卫}和跟从他的人往前行路，{示每}在{大卫}的对面，在山旁，一面咒骂，一面走，又向他抛石撒土。
母下16:14 {大卫}和跟从他的众人疲疲乏乏的，到了一个地方就歇息了。
母下16:15 【户筛假装臣服押沙龙，好实施计谋】¶{押沙龙}率领[以色列]众人进了[耶路撒冷]，{亚希多弗}也跟随他。
母下16:16 {大卫}朋友[亚基]人{户筛}到了{押沙龙}面前，对{押沙龙}说：愿王万岁，愿王万岁。
母下16:17 {押沙龙}问{户筛}说：这是你恩待朋友的情理么？你为什么不与你朋友同去呢？
母下16:18 {户筛}对{押沙龙}说：不然，主所拣选的，这民和[以色列]众人所拣选的，我必归顺他，我必在他面前为臣。
母下16:19 再者我要服事的岂不是前王的儿子么？我怎样服事了王父，我也要怎样服事王。
母下16:20 【亚希多弗向押沙龙献计】{押沙龙}向{亚希多弗}说：你们计议计议，我们怎样行方好？
母下16:21 {亚希多弗}对{押沙龙}说：王父所留下看守宫殿的妃嫔，王不如与她们亲近。[以色列]人听见王行这事，你父必憾恨你。凡顺从王的人，心里更加坚定。(“你父必憾恨你”或作“你父不再与你和好”。“心里更加坚定”或作“越发协力帮助你”。)
母下16:22 于是，人为{押沙龙}在宫殿平顶上支搭帐幕，他在[以色列]众人眼前与他父的妃嫔亲近。
母下16:23 当时{亚希多弗}定谋，人以为如同问天主的话一样，他昔为{大卫}、今为{押沙龙}所定的谋都是这样。
母下17:1 【亚希多弗的计谋被户筛所拦阻是出于主的意思，为要使押沙龙失败】{亚希多弗}对{押沙龙}说：我不如挑选一万二千人，从今夜起身追赶{大卫}，
母下17:2 趁他疲乏困倦，我忽到攻击他，使他惊吓。跟随他的民必都逃散，我就单杀{大卫}王一人，
母下17:3 使众民都归顺王。王所要害的人既死，众民就如已经归顺了，并且也都平安无事。
母下17:4 {押沙龙}和[以色列]的诸长老都以这话为妙。
母下17:5 {押沙龙}说：不如将[亚基]人{户筛}也召来，我们要听他怎样说？
母下17:6 {户筛}到了{押沙龙}面前，{押沙龙}向他说：{亚希多弗}是这样说的，我们照着他的话行可以不可以？若不可以，你就另说一主意。
母下17:7 {户筛}对{押沙龙}说：{亚希多弗}这次所定的谋不善。
母下17:8 {户筛}又说：王知道王父和跟从他的人都是勇士。现在他们心里暴怒，如同丧子的野熊一般，而且王父是通晓战事的，必不和民安宿。(“暴怒”或作“猛烈”。“必不和民安宿”或作“必不和民一处住宿”。)
母下17:9 他或藏在坑中，在穴里，或在别的地方。若有人被杀，恐怕听见的人说：跟从{押沙龙}的民被杀败。
母下17:10 虽勇敢胆壮如狮子，也必丧胆，因为[以色列]人都知道王父是英雄，跟从他的人都是勇士。
母下17:11 依我之计，不如将[以色列]众人聚集，从[但]直到[别是巴]，如同海边沙那样多，并且王亲自率领他们出战。
母下17:12 他无论在何处我们必至攻击他。聚集住在那里，如同露水降在地上一般，使他和跟从他的人连一个也不留下。
母下17:13 他若进了什么城，[以色列]众人便用绳子将城拉到河里，使城内连一块小石头都不剩下。(“河”或作“谷”。)
母下17:14 {押沙龙}和[以色列]众人说：[亚基]人{户筛}所定的谋比{亚希多弗}所定的谋好。这是主使{亚希多弗}的好谋废弃，因要降祸与{押沙龙}。
母下17:15 【户筛暗中差遣人把消息告诉大卫】{户筛}对祭司{撒督}和{亚比亚他}说：{亚希多弗}为{押沙龙}和[以色列]的诸长老所定的谋是如此如此，我所定的谋是如此如此。
母下17:16 现在你们速速地差遣人去告诉{大卫}说：今夜不可住在旷野的平原，须要过河，惟恐王和跟随王的人遭遇祸害。(“今夜不可住在旷野的平原”或作“今夜不要耽延在旷野的渡口”。“遭遇祸害”或作“都被翦灭”。)
母下17:17 {约拿单}和{亚希玛斯}在[罗结]水泉旁边等候，不敢进城，恐怕被人看见。有一个使女出来将这话告诉他们，他们就报与{大卫}王去了。(“洗衣泉”原文作“隐罗结”。)
母下17:18 有一个童子看见他们，就去告诉{押沙龙}。他们急忙去了，到了[巴户琳]某人家里。那人院中有井，他们就下到井里。
母下17:19 /那家的/妇人用盖盖上井口，又在上头铺上麦屑，使事不泄漏。
母下17:20 {押沙龙}的仆人来到那家里，问妇人说：{亚希玛斯}，{约拿单}在哪里？妇人说：他们过了河了。那些人寻找他们没有寻着，就回[耶路撒冷]去了。
母下17:21 他们走后，二人从井里上来，前去告诉{大卫}说：{亚希多弗}如此定谋。你们须要速速起来过河。
母下17:22 {大卫}和跟随他的人都起来过[约但]河，到了天亮，无一人没有渡过[约但]河。
母下17:23 【亚希多弗见自己的计谋被废弃，就回家自杀了】¶{亚希多弗}见不用他所定的谋，就备上驴回本城，到自己家里去，留下遗言，自缢而死，就葬在他父的坟墓里。
母下17:24 【押沙龙立亚玛撒作将军】¶{大卫}到了[玛哈念]，{押沙龙}和跟随他的众[以色列]人也都过了[约但]河。
母下17:25 {押沙龙}立{亚玛撒}代{约押}作将军。{亚玛撒}是一个[以色列]人{以特拉}的儿子。{以特拉}曾与{拿辖}的女儿{亚比该}亲近。这{亚比该}与{约押}的母，{西鲁雅}为姐妹。(“以色列人”又作“以实玛力人”。)
母下17:26 {押沙龙}和[以色列]人都安营在[基列]地。
母下17:27 【大卫到了玛哈念，有民众乐意送食物来给他们吃】{大卫}到了[玛哈念]，[亚扪]族的[拉巴]城的人{拿辖}的儿子{朔比}，[罗底巴]人{亚米利}的儿子{玛吉}，[基列]的[罗基琳]人{巴西莱}，
母下17:28 都来携着被、褥、盆、碗、瓦器、麦子、大麦、面、炒谷、豆子、扁豆、炒豆、
母下17:29 蜜、奶油、羊、牛、奶饼，供给{大卫}和跟随他的人吃。他们说：民在旷野，必饥渴困乏。
母下18:1 【大卫数点军队，分为三队，命令将领率领出战】{大卫}点数跟随自己的人，立千夫长、百夫长督率他们。
母下18:2 {大卫}将众兵分为三军，派{约押}率领一军，派{西鲁雅}儿子，{约押}兄弟{亚比筛}率领一军，派[迦特]人{以太}率领一军。向军兵说：我也要与你们一同出战。(原文作“分战士为三份，将一份托约押的手，将一份托约押的兄弟洗鲁雅的儿子亚比筛的手，将一份托迦特人以太的手”。)
母下18:3 民说：王不可与我们同去。假如我们逃走，敌人不介意，我们阵亡一半，敌人也不介意，因为王一人强如我们万人。王不如在城里帮助我们倒好。(“敌人不介意”或作“敌人的志向不在我们”，下同。)
母下18:4 王向他们说：我就照着你们所愿的行。于是，王站在城门旁，众民或一百一队，或一千一队出去了。
母下18:5 【大卫吩咐将领宽待押沙龙】王嘱咐{约押}、{亚比筛}、{以太}说：你们要为我宽待那少年人{押沙龙}。王为{押沙龙}嘱咐众将的话，民都听见了。
母下18:6 【跟从押沙龙的以色列军在以法莲大败】{大卫}的战士就迎着[以色列]军出去，在[以法莲]树林里交战。
母下18:7 那日，[以色列]人在跟从{大卫}的战士面前大败，被杀的甚多，阵亡的共有二万人。(“战士”原文作“臣仆”。)
母下18:8 在那里四散打仗，那日死在树林里的人，比被刀剑杀死的人还多。
母下18:9 【押沙龙的头发绕住橡树枝被悬在空中，兵不敢杀他】{押沙龙}与{大卫}的臣仆偶然相遇。{押沙龙}骑着骡子，从大橡树密枝底下经过。他的头发被树枝绕住，他悬挂在半空中，所骑得骡子便离他而去。(“半空中”原文作“天地之间”。)
母下18:10 有人看见，就告诉{约押}说：我看见{押沙龙}悬挂在橡树上了。
母下18:11 {约押}对报信的人说：你既看见他，为什么没有将他打死扑倒在地呢？你若打死他，我必赏你十舍客勒银子，一条带子。
母下18:12 那人对{约押}说：我就是得你一千舍客勒银子，我也不敢举手打死王的儿子，因为我们听见王嘱咐你和{亚比筛}并{以太}说：你们都要谨慎，不可害死少年人{押沙龙}。
母下18:13 我岂可妄为自害己命呢？无论何事都瞒不过王，到那时候，你必旁立不管。(“你必旁立不管”原文作“你必对立”。)
母下18:14 【约押违背王的命令，执意杀死押沙龙，掷在坑中】{约押}说：我不要与你留连。于是，{约押}手拿三杆枪，刺入{押沙龙}的心窝里。那时，{押沙龙}在橡树上还活着。
母下18:15 又来了为{约押}拿器械的十个少年人，围绕{押沙龙}，将他杀死。
母下18:16 {约押}就吹角拦阻战士，战士就不再追赶[以色列]人。
母下18:17 众人将{押沙龙}抛在林中一个大坑里，上头堆上一大堆石头。[以色列]众人都逃遁，各回各家里去了。(“家里”原文作“帐幕”，下同。)
